Course_Code,Course_Title,L-T-P-S-C,Faculty,Semester_Half,Elective,Students,basket,is_combined
CS307,Machine Learning,3-1-0-0-4,Dr. Sunil C K,0,0,69,0,0
DS308,Data Security and Privacy,3-1-0-4-4,Dr. Girish Revadigar,0,0,69,0,1
EC456,Reinforcement Learning,3-1-0-0-4,Dr. Dibyajyoti Guha,0,1,35,1,0
CS368,Computer Architecture for AI Systems,3-1-0-0-4,Dr. Nataraj,0,1,21,1,0
CS369,Software Design and Architecture,3-1-0-0-4,Dr. Vivekraj V K,0,1,13,1,0
CS370,Remote Sensing and Applications,3-0-2-0-4,Dr. Sunil C K,0,1,51,1,0
CS371,GPU Computing,3-0-2-0-4,Dr. Pramod Yelmewad,0,1,30,1,0
EC363,CMOS RF Circuit Design,3-1-0-0-4,Dr. Rajesh Kumar,0,1,20,1,0
DA351,Explainable AI,3-1-0-0-4,Dr. Siddharth R,0,1,67,1,0
CS469,Virtualisation and Cloud Computing,3-1-0-0-4,Dr. Malay Kumar,0,1,167,2,0
CS372,Biometric Security and Forensics,3-1-0-0-4,Dr. Pavan Kumar C,0,1,9,2,0
CS472,Bioinformatics,3-1-0-0-4,Dr. Sunil Kumar P V,0,1,14,2,0
CS464,Deep Learning for Computer Vision,3-1-0-0-4,Dr. Chinmayananda A,0,1,46,2,0
EC366,Device-Circuit Co-Design,3-1-0-0-4,Dr. Pankaj Kumar,0,1,22,2,0
CS205,Graph Theory,3-1-0-0-4,Dr. Anand P. Barangi,0,1,16,3,0
CS455,Blockchain Technology,3-1-0-0-4,Dr. Rajendra Hegadi,0,1,30,3,0
CS458,Natural Language Processing,3-1-0-0-4,Dr. Krishnendu Ghosh,0,1,120,3,0
EC367,Industrial IoT,3-1-0-0-4,Dr. Prakash Pawar,0,1,55,3,0
ASD351,Design Thinking and Innovation,3-1-0-0-4,Dr. Sandesh P,0,1,20,4,0
DA352,Full Stack Development II,3-1-0-0-4,Dr. Manjunath K Vanahalli,0,1,98,4,0
EC361,Introduction to 5G,3-0-2-0-4,Dr. Jagadeesha R Bhat,0,1,20,4,0
DA353,Cloud Computing and AI Services,3-1-0-0-4,Dr. Animesh Chaturvedi,0,1,24,4,0
CS373,DevSecOps,3-0-2-0-4,Dr. Girish Revadigar,0,1,50,4,0
DS357,Large Language Models,3-1-0-0-4,Dr. Sunil Saumya,0,1,31,4,0
DA354,Federated Learning,3-1-0-0-4,Dr. Shirshendu Layek,0,1,11,4,0
DS351,Statistics for Health Technology,3-1-0-0-4,Dr. Ramesh Athe,0,1,3,5,0
DS452,Advanced Optimization Techniques,3-1-0-0-4,Dr. Utkarsh Mahadeo Khaire,0,1,2,5,0
ASD353,Quantum Hardware and Systems,3-1-0-0-4,Dr. Aswath Babu H,0,1,14,5,0
DS358,Deep Speech Processing,3-1-0-0-4,Prof. S R M Prasanna,0,1,3,5,0
DA355,Mathematics for Modern Applications,3-1-0-0-4,Prof. Arulalan Rajan,0,1,11,5,0
